date,client,library,frequency
2017-05-15,mobile,IfVisible.js,126
2017-05-15,mobile,InfoVis,8
2017-05-15,mobile,Ink,20
2017-05-15,mobile,Isotope,14033
2017-05-15,mobile,Kendo UI,469
2017-05-15,mobile,Knockout,2224
2017-05-15,mobile,LABjs,1306
2017-05-15,mobile,Leaflet,1146
2017-05-15,mobile,Lo-Dash,9631
2017-05-15,mobile,Mapbox,195
2017-05-15,mobile,Marionette,537
2017-05-15,mobile,Material Design Lite,394
2017-05-15,mobile,Matter.js,3
2017-05-15,mobile,MochiKit,1
2017-05-15,mobile,Modernizr,73201
2017-05-15,mobile,Moment Timezone,1937
2017-05-15,mobile,Moment.js,14209
2017-05-15,mobile,MooTools,8293
2017-05-15,mobile,Mustache,3973
2017-05-15,mobile,Paper.js,24
2017-05-15,mobile,Pixi.js,105
2017-05-15,mobile,Polymer,130
2017-05-15,mobile,Popcorn.js,21
2017-05-15,mobile,Prototype,8552
2017-05-15,mobile,Pusher,723
2017-05-15,mobile,Qooxdoo,11
2017-05-15,mobile,React,1870
2017-05-15,mobile,RequireJS,7317
2017-05-15,mobile,Rico,6
2017-05-15,mobile,RightJS,5
2017-05-15,mobile,Riot,107
2017-05-15,mobile,SPF,15
2017-05-15,mobile,SWFObject,17401
2017-05-15,mobile,Sammy,2
2017-05-15,mobile,Scriptaculous,1470
2017-05-15,mobile,ScrollMagic,1147
2017-05-15,mobile,Sea.js,446
2017-05-15,mobile,Socket.IO,1615
2017-05-15,mobile,Spine,35
2017-05-15,mobile,SproutCore,61
2017-05-15,mobile,Spry,21
2017-05-15,mobile,Swiffy,165
2017-05-15,mobile,Tween.js,236
2017-05-15,mobile,Two,3
2017-05-15,mobile,Underscore,18826
2017-05-15,mobile,Vaadin,6
2017-05-15,mobile,Velocity.js,1069
2017-05-15,mobile,Visibility.js,155
2017-05-15,mobile,Vue,894
2017-05-15,mobile,WebFont Loader,9954
2017-05-15,mobile,YUI 2,6354
2017-05-15,mobile,YUI 3,2334
2017-05-15,mobile,Zepto.js,3487
2017-05-15,mobile,Zurb,7514
2017-05-15,mobile,base2,119
2017-05-15,mobile,gRapha&euml;l,3
2017-05-15,mobile,jQuery,384553
2017-05-15,mobile,jQuery Mobile,14975
2017-05-15,mobile,jQuery Tools,10688
2017-05-15,mobile,jQuery UI,95676
2017-05-15,mobile,three.js,255
2017-05-15,mobile,yepnope,51837
2017-06-01,desktop,,1
2017-06-01,desktop,AmplifyJS,280
2017-06-01,desktop,Angular,224
2017-06-01,desktop,AngularJS,9477
2017-06-01,desktop,Backbone,8566
2017-06-01,desktop,Blackbird,259
2017-06-01,desktop,Bootstrap,63641
